"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Create schedule by mqtt","Create a schedule with action ""Daylight"" and end with ""Previous mode"" when lamp original status is on","0","0","1","0","0"
"","Pair lights only wifi","3 * WiZclick pairing only wifi","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Golden white"" and no end when lamp original status is ""Pulse""","0","0","1","0","0"
"","Pair lights wifi and ble","AP pairing wifi and ble","0","0","1","0","0"
"","Test cases for rhythm","Disable rhythm by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Edit schedule to end with off by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Bedtime"" and end with ""OFF"" when lamp original status is ""OFF""","0","0","1","0","0"
"","Pair lights only wifi","RTP pairing only wifi","0","0","1","0","0"
"","Create schedule by mqtt","Edit a schedule end of the way when the schedule has been stated by mqtt","0","0","1","0","0"
"","Create schedule by mqtt","Delete a schedule","0","0","1","0","0"
"","Create schedule by mqtt","Create a schedule with action ""Wake-up"" and end with ""Previous mode"" after 30min when lamp original status is ""OFF""","0","0","1","0","0"
"","Pair lights wifi and ble","RTP pairing wifi and ble","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","Create schedule by mqtt","Create 2 schedules of two consecutive periods,schedule1 end with ""previous mode""and schedule2 end with ""previous mode""","0","0","1","0","0"
"","Create schedule by mqtt","Press ""ON"" during schedule end with ""OFF""","0","0","1","0","0"
